category	name	day	weight	price	description
Салаты	Буряк отварной салат ПОСТ	все дни	100	14.00	Отварная свекла, соль, растительное масло
Салаты	Весенний салат	ВТ	150	19.00	Крабовые палочки, куринные яйца, кукуруза, лук зелёный, майонез, специи
Салаты	Винегрет	ПТ	150	16.00	Свекла, картошка, морковь, лук, горошек, масло раст
Салаты	Греческий салат ВЕГ	все дни	200	34.00	Помидоры, болгарский перец, огурцы, красный лук, маслины, сыр фета, оливковое масло
Салаты	Днестровский 	ВТ	150	21.00	Свежая капуста, сырокопченая колбаса, зеленый горошек, зеленый лук, майонез
Салаты	Здоровье	СР	150	15.00	Пекинская капуста, перец болгарский, морковка, лук, корень сельдерея, изюм, лимон, масло подсолнечное
Салаты	Зелёный салат с авокадо ПОСТ	ВТ	150	34.00	Салат айсберг, авокадо,сыр фета, изюм, семечки подсолнуха, чеснок, укроп, растительное масло
Салаты	Капуста квашенная 	ВТ	100	13.00	Свежая капуста, лук, растительное масло
Салаты	Капуста свеж. с зеленью салат ПОСТ	все дни	100	14.00	Свежая капуста, помидоры, огурцы, морковь, укроп, зеленый лук, растительное масло
Салаты	Куриный салат	ПТ	150	24.00	Куринное филе копченное, пекинская капуста, кукуруза, помидор, сыр твердый, майонез, соевый соус, специи.
Салаты	Мазурка	ПН	150	34.00	Филе куринное, салат айзберг, фасоль консервированная, кукуруза, пекинская капуста, майонез, специи
Салаты	Мидии с лимоном	ЧТ	100	37.00	Мидии, лимон, специи
Салаты	Мимоза	ВС	250	24.00	Консервированная рыба, яйцо, отварная морковь, картофель, майонез, специи.
Салаты	Мимоза	ПН	250	24.00	Консервированная рыба, яйцо, отварная морковь, картофель, майонез, специи.
Салаты	Морковь по-корейски ВЕГ	ВС	100	13.00	Морковь, чеснок, специи
Салаты	Морковь по-корейски ВЕГ	ПН	100	13.00	Морковь, чеснок, специи
Салаты	Морская капуста ПОСТ	ВТ	100	16.00	Морские водоросли, морковь, лук, специи
Салаты	Неаполитанский салат ВЕГ	СР	150	31.00	Салат айсберг, моцарела, помидоры черри, маслины, растительное масло
Салаты	Оливье салат	все дни	150	21.00	Колбаса вареная, зеленый горошек, огурцы, отварной картофель, морковь, зеленый лук, майонез
Салаты	Перепелиный салат	ЧТ	150	23.00	Крабовые палочки, яйцо перепелинное, лук, грибы, майонез, специи
Салаты	Помидоры с огурцами салат ПОСТ	все дни	150	25.00	Помидоры, огурцы, лук, растительное масло
Салаты	Сельдь норвежская	СБ	100	29.00	Филе сельди, маринованый лук
Салаты	Сельдь норвежская	ПТ	100	29.00	Филе сельди, маринованый лук
Салаты	Средиземноморский салат	ЧТ	120	74.00	Лосось, салат айзберг, помидор черри, перепелинное яйцо, лимонный сок, специи, оливковое масло
Салаты	Фиджи салат ВЕГ	ВТ	150	37.00	Листья салата, помидоры черри, огурцы, перепелиные яйца, растительное масло, мёд, лимон
Салаты	Цезарь салат	ПН	150	44.00	Листья салата, куриное филе, сыр, кукуруза, сухарики, горчично-лимонный соус
Салаты	Шведский свекольный	СР	150	14.00	Свекла, лук, яблоко, майонез, сметана, горчица, специи
Салаты	Шуба	СР	250	34.00	Нежная сельдь, отварное яйцо, картофель, буряк, морковь, лук репчатый, майонез, специи
Супы	Борщ по-украински	все дни	350	21.00	Свекла, морковь, капуста, картофель, свинина, специи
Супы	Бульйон кур с лапшой	все дни	350	17.00	Куриное филе, вермишель, морковь, репчатый лук, зелёный лук, укроп, специи
Супы	Гороховый суп	ПТ	350	19.00	Копченые крылья, горох, картофель, морковь, лук, зелень
Супы	Гречневый суп	ПТ	350	15.00	Гречка, картофель, лук, морковь, зелень, специи
Супы	Грибной суп	ВС	350	18.00	Шампиньоны, картофель, лук, морковь, специи
Супы	Грибной суп	ПН	350	18.00	Шампиньоны, картофель, лук, морковь, специи
Супы	Грибной суп-пюре ВЕГ	СР	350	30.00	Шампиньоны, сливки, картофель, морковь, лук, специи
Супы	Егерский суп	ВТ	350	18.00	Печень куринная, серце куринное, картошка, лук, морковка, пшеничная крупа, лавровый лист, укроп, специи, подсолнечное масло
Супы	Зелёный борщ	СР	350	29.00	Щавель, свинина, картофель, лук, морковь, зелень
Супы	Лососевый суп на сливках	ПТ	350	64.00	Лосось, сливки, картофель, морковь, лук, зелень, специи
Супы	Овощной суп ПОСТ	все дни	350	17.00	Цветная капуста, брокколи, картофель,  зеленый горошек, морковь, помидоры, лук, зелень
Супы	Рассольник	СР	350	16.00	Огурец маринованый, перловая крупа, лук, марковка, картошка, специи, масло подсолничное
Супы	Солянка мясная	ВТ	350	39.00	Охотничьи колбаски, шинка куриная, свинина, морковь, лук, зелень
Супы	Суп с мидиями	ЧТ	350	34.00	Мидии, морковка, лук, помидор, хек тушка, картошка, лук зеленный, стебель сельдерея, специи
Супы	Сырный суп с фрикадельками	ЧТ	350	19.00	Фрикадельки куринные, сырок плавленный, картошка, укроп, морковь, лук, растительное масло, специи
Супы	Уха	ЧТ	350	22.00	Хек, картофель, морковь, лук, растительное масло,  укроп, зелёный лук, специи, лавровый лист
Супы	Чечевичный суп	ПН	350	21.00	Чечевица, куринное филе, кабачок, картофель, морковь, лук, растительное масло, специи
Супы	Шпинатный суп-пюре	ПН	350	19.00	Шпинат, брокколи, цветная капуста, спаржа, морковь, картофель, зелень
Супы	Ячневый суп	ПТ	350	15.00	Ячнева крупа, картофель, морковь, лук, укроп, масло подсолнечное, специи
Супы	Ячневый суп	СБ	350	15.00	Ячнева крупа, картофель, морковь, лук, укроп, масло подсолнечное, специи
Курица	Бедро куринное в сливочном соусе	ПТ	120	35.00	Бедро куринное, сливочный соус, специи
Курица	Бедро куринное в сливочном соусе	СБ	120	35.00	Бедро куринное, сливочный соус, специи
Курица	Бедро куриное на гриле	ПН	120	41.00	Куриное бедро, майонез, специи
Курица	Бедро куриное на гриле	ВС	120	41.00	Куриное бедро, майонез, специи
Курица	Вырезка с индейки на гриле	ЧТ	100	49.00	Филе индейки, соль, сок лимона, растительное масло, соевый соус
Курица	Жюльен	ВТ	100	22.00	Курица, шампиньоны, лук, чеснок, сметана, масло подсолнечное
Курица	Колбаска куринная 	ПН	90	30.00	Куриное филе, сало, молоко, специи
Курица	Колбаска куринная 	ВС	90	30.00	Куриное филе, сало, молоко, специи
Курица	Котлета веснянка	СР	120	35.00	Филе куринное, грибы, яйцо куринное, лук, специи, растительное масло
Курица	Котлета куриная жареная	все дни	90	23.00	Рубленное куриное филе, специи, яйца, хлеб
Курица	Котлета куриная паровая	все дни	70	21.00	Рубленное куриное филе, специи, яйца, хлеб
Курица	Котлета по-киевски	все дни	130	39.00	Рубленное куриное филе, фаршированное сливочным маслом с зеленью, обжаренное в панировочных сухарях
Курица	Куриный рулет в меду	ПН	150	48.00	Куриное филе, сыр, помидоры, лук, майонез, специи
Курица	Куриный рулет в меду	ВС	150	48.00	Куриное бедро, соевый соус, мед
Курица	Курица по-мексикански	СР	120	47.00	Куриное бедро, соевый соус, мед
Курица	Отбивная куриная с помидорами под сыром	ВТ	120	39.00	Куринное филе, ананасы, твёрдый сыр, майонез
Курица	Отбивная куриная с сыром	все дни	160	37.00	Куриное филе, обжаренное в яйце с сыром
Курица	Стейк куриный на гриле	все дни	110	45.00	Куриное филе, маринад, специи
Курица	Филе куриное в горчичном соусе	ПТ	75	29.00	Куриное филе, горчица, яйца, соевый соус, сок лимона, специи
Курица	Филе куриное отварное	все дни	75	27.00	Куриное филе, лук, морковь
Курица	Шницель куринный	ВТ	140	37.00	Куриное филе, яйца, лук, молоко, сало, специи
Телятина, свинина	Бифштекс говяжий с яйцом	ПТ	140	32.00	Рубленная говядина, лук, специи, подается под яйцом
Телятина, свинина	Бифштекс говяжий с яйцом	СБ	140	32.00	Рубленная говядина, лук, специи, подается под яйцом
Телятина, свинина	Кнели говяжьи на пару	ПН	90	33.00	Говядина, батон, молоко, яйцо, масло подсолничное, специи
Телятина, свинина	Котлета свинная жаренная	ЧТ	90	25.00	Свинная лопатка, сало, лук, батон, яйцо, мука, масло подсолничное, специи
Телятина, свинина	Отбивная свинная	ПН	100	31.00	Биток свиной обжареный в яйце, специи
Телятина, свинина	Отбивная телячья	СР	120	59.00	Говяжий биток в соево-томатном соусе, обжаренный в кляре
Телятина, свинина	Печеночная котлета	ВТ	90	17.00	Печень говяжья, мука, сметана, сало, специи, растительное масло
Телятина, свинина	Свинная вырезка в сливочном соусе	ВТ	100	59.00	Свинная вырезка, грибы, сливки, чеснок, лук, масло подсолничное, специи
Телятина, свинина	Стейк свинной на гриле	ПТ	130	69.00	Биток свинной, лимонный сок, соевый соус, специи, растительное масло
Рыба	Лосось паровой	ЧТ	100	84.00	Лосось филе, масло подсолничное, лимонный сок, лимон, специи
Рыба	Пангасиус в кляре	ПН	100	41.00	Пангасиус, яйцо, масло, мука, специи
Рыба	Рыбная котлета жаренная	ВТ	90	29.00	Филе хека, яйца, специи, хлеб
Рыба	Рыбная котлетка на пару	ЧТ	100	24.00	Филе хека, яйца, специи, хлеб
Рыба	Сайда на пару	ПН	100	64.00	Филе сайды, соевый соус, сок лимона
Рыба	Сайда печенная с помидорами	СР	120	69.00	Филе сайды, помидоры, шампиньоны, соевый соус, майонез, специи
Рыба	Сайда с луком	ЧТ	100	29.00	Сайда тушка, лук, специи
Рыба	Скумбрия в горчичном соусе с помидорами	ВТ	120	64.00	Скумбрия, горьчица, масло подсолничное, прованские трави, специи
Рыба	Филе эсколара на пару	СР	100	69.00	Филе эсколара, лимонный сок, лимон, масло подсолничное, соевый соус, специи
Рыба	Хек жареный в яйце	все дни	100	49.00	Филе хека, яйца,специи
Рыба	Хокки в томатном соусе	ПТ	100	34.00	Хоки тушка, лук, морковь, томатный сок, специи
Блины, вареники	Вареники с капустой	ВТ	6 шт	21.00	Тонко раскатаное тесто с начинкой из капусты
Блины, вареники	Вареники с картофелем	ПН	6 шт	19.00	Тонко раскатаное тесто с начинкой из картофеля
Блины, вареники	Вареники с ливером	ПТ	6 шт	42.00	Тонко раскатаное тесто с начинкой из ливера
Блины, вареники	Вареники с ливером	СБ	6 шт	42.00	Тонко раскатаное тесто с начинкой из ливера
Блины, вареники	Вареники с мясом	СР	6 шт	44.00	Тонко раскатаное тесто с начинкой из отварной свинины
Блины, вареники	Запеканка творожная ВЕГ	все дни	100	22.00	Творог, манка, яйца, сметана, сливочное масло
Блины, вареники	Налистники с творогом	ПТ	100	19.00	Тонко раскатаное тесто с начинкой из творога
Блины, вареники	Пельмени домашние	ЧТ	8 шт	48.00	Тонко раскатаное тесто с начинкой из свинины
Вторые блюда	Бризоли с курицей и огурцом	ВТ	140	42.00	Куринное филе,огурец, сметана, твердый сыр, молоко, яйцо, специи
Вторые блюда	Брокколи на пару ПОСТ	все дни	160	27.00	Свежая брокколи
Вторые блюда	Брокколи с вешенками	ПТ	160	29.00	Грибы вешанки, броколи, лук, масло подсолничное специи
Вторые блюда	Булгур с куринными сердечками	ВТ	160	23.00	Крупа Булгур, серце куринное, болгарский перец, лук, морковь, сметана, масло подсолничное, специи
Вторые блюда	Гречка с мясом и грибами	ЧТ	200	22.00	Гречневая каша, свинина, грибы, лук, морковь специи
Вторые блюда	Жаркое с курицей	ВТ	200	23.00	Картофель, окорочек куринный без кости, морковь, лук, зеленый горошек, растительное масло, специи
Вторые блюда	Жаркое со свининой	ЧТ	200	24.00	Картофель, свинина, лук, морковь, специи
Вторые блюда	Капуста тушеная ПОСТ	ВТ	160	17.00	Капуста, лук, шампиньоны, морковь, томатная паста, специи
Вторые блюда	Картошка бабушкина	СР	160	23.00	Картофель, ветчина, морковь, чеснок, майонез, специи
Вторые блюда	Макароны по-флотски	ПТ	160	20.00	Вермишель, свинина, морковь, лук
Вторые блюда	Макароны по-флотски	СБ	160	20.00	Вермишель, свинина, морковь, лук
Вторые блюда	Овощи гриль ПОСТ	все дни	160	37.00	Кабачки, баклажаны, шампиньоны, болгарский перец,  специи
Вторые блюда	Овощи по-мексикански	ПТ	160	19.00	Болгарский перец, кукуруза, горошек, спаржевая фасоль
Вторые блюда	Овощное соте на пару ПОСТ	ПТ	160	22.00	Брокколи, цветная капуста, морковь, спаржа, болгарский перец
Вторые блюда	Паста карбонара	ВТ	160	33.00	Спагетти, оливковое масло, чеснок, красный лук, бекон, пармезан, яйца, сливки, специи
Вторые блюда	Паста Примавера	ЧТ	160	24.00	Макароны спираль, броколи, перец болгарский, помидор, кабочок, пармезан, лук, морковь, зеленый горошек, специи
Вторые блюда	Паэлья	ПТ	200	38.00	Мидии, кальмары, куриное филе, рис, лук, горошек, болгарский перец, растительное масло, соль
Вторые блюда	Перец фаршированный 	СР	2 шт	39.00	Болгарский перец, свинина, рис, лук, морковь, томатная паста, сметана, яйца
Вторые блюда	Плов с грибами ПОСТ	ПТ	200	23.00	Рис, шампиньоны, морковь, лук, растительное масло, специи
Вторые блюда	Плов с мясом	ПН	200	34.00	Рис, свенина, лук, морковь,специи
Вторые блюда	Полента с овощами	ЧТ	200	19.00	Крупа палента, грибы, кабачок, пармезан, лук, молоко, специи
Вторые блюда	Рагу с говядиной и овощами в пиве	ЧТ	200	56.00	Говядина, стебель сельдерея, грибы, морковь, чеснок, лук репчатый, пиво, растительное масло, специи (тимян, зира, перец, соль)
Вторые блюда	Рисовая лапша с курицей и овощами	СР	160	29.00	Рис, кур филе, лук, перец болгарский, помидор, сельдерей, чеснок, кукуруза, перец чили, куркума
Вторые блюда	Рис с курицей	СР	200	23.00	Рисовая лапша, куриное филе, болгарский перец, морковь, чеснок, соевый соус, растительное масло, специи
Вторые блюда	Спагетти Болоньезе	ПН	160	45.00	Спагетти, фарш говяжий, пармезан, оливковое масло, красное сухое вино, стебель сельдерея, помидоры, лук репчатый, петрушка, бульон, чеснок, специи
Вторые блюда	Цветная капуста запеченная с горошком	ПН	160	17.00	Цветная капуста, зеленый горошек, сыр твердый, яйцо, сметана, растительное масло, специи
Гарниры	Булгур ПОСТ	ПН	160	14.00	Булгур, растительное масло, специи
Гарниры	Гречка ПОСТ	все дни	160	15.00	Гречка, растительное масло, специи
Гарниры	Картошка жареная ПОСТ	СБ	160	14.00	Картофель, растительное масло, специи
Гарниры	Картошка жареная ПОСТ	ПТ	160	14.00	Картофель, растительное масло, специи
Гарниры	Картошка по-селянски ПОСТ	все дни	160	17.00	Картофель, растительное масло, укроп, чеснок, специи
Гарниры	Картошка с укропом ПОСТ	ВС	160	15.00	Картофель, укроп
Гарниры	Картошка с укропом ПОСТ	ПН	160	15.00	Картофель, укроп
Гарниры	Кускус ПОСТ	СР	160	15.00	Кускус, растительное масло, специи
Гарниры	Пюре ВЕГ	все дни	200	15.00	Картофель, сливочное масло, молоко
Гарниры	Рис отварной ПОСТ	ВТ	160	14.00	Рис, растительное масло, специи
Гарниры	Рис с овощами ПОСТ	ЧТ	160	16.00	Рис, овощная смесь, растительное масло, специи
Торты	Апельсиновый с карамелью торт	ВТ	100	29.00	Медовые коржи прослоены кремом из свежих апельсинов, творожным суфле и соленой карамелью. Торт оформлен штрейзелем из миндаля.
Торты	Брауни с орехом	ЧТ	100	29.00	Классический американский шоколадный пирог с насыщеным шоколадным вкусом и влажной шоколадной текстурой, с кусочками грецкого ореха.
Торты	Кекс банановый	ПТ	100	19.00	Сладкое кондитерское изделие, выпекаемое в форме, в состав которого входит пюре из свежих бананов.
Торты	Маковое наслаждение с карамелью	ПН	100	26.00	Безглютеновое изделие. Маково-ореховые коржи, выпекаемые без муки, пропитаны легким ванильным сиропом и залиты бархатистым сливочно-карамельным соусом .
Торты	Медовый торт	СР	100	26.00	Медовые коржи прослоены кремом из сметаны. Торт оформлен медовой крошкой.
Торты	Морковный торт постный	ПН	100	21.00	Постное изделие. Оригинальные морковные коржи пропитаны апельсиново-лимонным фрешем, покрыты абрикосовым джемом иоформлены  кокосовой стружкой.
Торты	Муравейник, пальчики оближешь	ЧТ	100	21.00	Кусочки нежного песочного теста с орехами  соеденены сливочным кремом с карамелезированным сгущеным молоком. Торт оформлен шоколадной крошкой.
Торты	Наполеон домашний торт	ВТ	100	25.00	Тонкие нежные коржи прослоены домашним заварным кремом. Торт оформлен крошкой.
Торты	Наполеон с белым шоколадом	ЧТ	100	34.00	Тонкие нежные коржи прослоены кремом из белого шоколада.  Торт оформлен крошкой.
Торты	Ореховый торт	СР	100	31.00	Ореховые коржи прослоены сливочным  кремом  с карамелизированным сгущеным молоком. Торт оформлен кофейной глазурью и грецкими орехами.
Торты	Пражский торт	ПТ	100	28.00	Классический шоколадный бисквит, пропитан сиропом с коньяком, прослоен шоколадным масляным кремом. Торт оформлен шоколадным ганашем.
Торты	Рафаэлло торт	ПН	100	29.00	Нежные бисквитные коржи пропитаны кокосовым сиропом и прослоены сливочным кокосовым кремом. Торт оформлен кокосовой стружкой.
Торты	Черничный чизкейк	ВТ	100	31.00	Мягкая шоколадная основа с начинкой без выпечки из крем- сыра и черники.
Торты	Чизкейк нежный	ЧТ	100	29.00	Основа из песочной шоколадной крошки с оригинальной начинкой без выпеки из  нежного творога. Торт оформлен сливками и клюквой.
Торты	Чизкейк изумрудный	ПТ	100	34.00	Мягкая миндальная основа с выпеченой начинкой из крем-сыра. Чизкейк оформлен зажелированными кусочками киви.
Торты	Чизкейк с фруктами	ПН	100	31.00	Мягкая песочная основа с выпеченной начинкой из  мягкого творога. Торт оформлен нежным гелем и фруктами.
Торты	Шоколадно-творожный с бананом	ПН	100	24.00	Нежные масляно-бисквитные шоколадные коржи, пропитанные ванильным сиропом, прослоены творожным  муссом и кусочками свежих бананов.
Торты	Шоколадный чизкек	СР	100	31.00	 Нежная шоколадная песочная основа с выпеченной начинкой из мягкого творога  с шоколадом. Торт оформлен карамельной глазурью.
Торты	Эстерхази торт	ПТ	100	44.00	Торт состоит из рассыпчатых белково-миндальных коржей, соединенных между собой сливочным кремом с добавлением коньяка. Торт традиционно оформлен ганашем из белого шоколада и рисунком из черного шоколада.
Десерты	Варшавский сырник	СР	100	29.00	Традиционный польский десерт из творожного и шоколадно-творожного слоев. Оформлен помадой и фруктами.
Десерты	Йогуртово-фруктовый десерт	ПТ	130	29.00	Десерт на основе йогурта, сезонных свежих фруктов, ягод и сливок. Оформлен свежими фруктами, ягодами и мятой.
Десерты	Львовский сырник	ВТ	100	27.00	Выпеченный творожный десерт с изюмом и апельсиновыми цукатами. Оформлен шоколадной помадой и фруктами.
Десерты	Тарта карамельная с орехами	ВТ	100	26.00	Рассыпчатый песочный тарт наполнен карамелью и арахисом.Оформлен шоколадом.
Десерты	Тарт с лимонным курдом 	СР	100	26.00	Рассыпчатый песочный тарт наполнен лимонным курдом. Оформлен сливками и мятой.
Десерты	Тирамису нежнейший	ЧТ	130	42.00	Бисквитные палочки пропитаны кофейно-коньячным сиропом и прослоены карамельным кремом из сливок. Десерт оформлен взбитыми сливками и какао.
Десерты	Фруктовый салат витаминный	все дни	170	34.00	Свежие сезонные фрукты и ягоды заправлены медом и апельсиновым фрешем. Оформлен сливками и мятой.
Десерты	Фруктовый тарт	все дни	130	27.00	Рассыпчатая песочная корзинка наполнена абрикосовым джемом. Верх оформлен взбитыми сливками и фруктами.
Выпечка сладкая	Булочка с вишней	все дни	60	14.00	Сдобное дрожжевое изделие с начинкой из вишен.
Выпечка сладкая	Булочка с малиной и смородиной	все дни	60	11.00	Сдобное дрожжевое изделие с начинкой из малины и смородины.
Выпечка сладкая	Булочка с яблоком	все дни	60	9.00	Сдобное дрожжевое изделие с начинкой из яблок.
Выпечка сладкая	Ватрушечка домашняя	все дни	60	14.00	Сдобное дрожжевое изделие с начинкой из творога с изюмом.
Выпечка сладкая	Кленовый Пекан	ВТ	шт	39.00	Слоеное дрожжевое изделие с начинкой из орехов пекан и кленовым сиропом.
Выпечка сладкая	Круасан с кремом	ПТ	шт	19.00	Слоеное дрожжевое изделие с начинкой из заварного крема.
Выпечка сладкая	Круасан с шоколадом	ПН	шт	23.00	Слоеное дрожжевое изделие с начинкой из шоколада и крема.
Выпечка сладкая	Круассан с кокосовой начинкой	ЧТ	шт	19.00	Слоеное дрожжевое изделие с кокосовой начинкой.
Выпечка сладкая	Печёное яблочко с абрикосовым джемом и орехами	ЧТ	шт	23.00	Печеное яблоко, фаршированное орехами и абрикосовым джемом.
Выпечка сладкая	Печёное яблочко с клубничным джемом и орехами	ПН	шт	23.00	Печеное яблоко, фаршированное орехами и клубничным джемом.
Выпечка сладкая	Печёное яблочко с курагой и мёдом	ПТ	шт	23.00	Печеное яблоко, фаршированное курагой и медом.
Выпечка сладкая	Печёное яблочко с творогом	СР	шт	21.00	Печеное яблоко, фаршированное творогом и изюмом .
Выпечка сладкая	Печёное яблочко с черносл и орехами	ВТ	шт	23.00	Французский открытый пирог из рубленого теста с начинкой из курицы
Выпечка сладкая	Пирог с малиной и смородиной	ВТ	шт	17.00	Сдобный дрожжевой пирог с начинкой из малины и смородины.
Выпечка сладкая	Пирог с орехами изюмом и маком	ПТ	шт	17.00	Сдобный дрожжевой пирог с наинкой из мак, орехов и изюма.
Выпечка сладкая	Пирог с творогом и изюмом	ПН	шт	23.00	Сдобный дрожжевой пирог с начинкой из творога и изюма.
Выпечка сладкая	Пирог с черникой	ЧТ	шт	19.00	Сдобный дрожжевой пирог с начинкой из черники.
Выпечка сладкая	Плюшка с сахаром	все дни	шт	8.00	Сдобное дрожжевое изделие .
Выпечка сладкая	Слойка с кремом и персиком	СР	шт	22.00	Слоеное дрожжевое изделие с заварным кремом и консервированным персиком.
Выпечка соленая	Вертута с курицей и овощами	ПН	шт	19.00	Изделие из тонко раскатанного бездрожжевого теста с начинкой из филе курицы и овощей.
Выпечка соленая	Вертута с мясом и тыквой	СР	шт	21.00	Изделие из тонко раскатанного теста с начинкой из  свинины, лука и тыквы.
Выпечка соленая	Галета с вялеными помидорами,шпинатом и пармезаном	ВТ	шт	24.00	Бездрожжевая лепешка  с начинкой из шпината, вяленых помидоров, феты, грецкого ореха и пармезана.
Выпечка соленая	Галета с хумусом, вяленым помидорами и грибами	ЧТ	шт	29.00	Бездрожжевая лепешка с начинкой из нута, пасты тахини, вяленых помидоров,лука,  грибов и пармезана.
Выпечка соленая	Киш с ветчиной, томатами и кабачками	СР	шт	39.00	Французский открытый пирог из рубленого теста с начинкой из ветчины , томатов и кабачков.Залит соусом на основе сливок и сыра.
Выпечка соленая	Киш с индейкой, тыквой и грибами	ПН	шт	44.00	Французский открытый пирог из рубленого теста с начинкой из филе  индейки, тыквы и грибов , залит соусом на основе сливок и сыра.
Выпечка соленая	Киш с курицей, вялеными помидорами и луком пореем	ПТ	шт	39.00	Французский открытый пирог из рубленого теста с начинкой из  филе курицы, вяленых помидор, лука-порея, залит соусом на основе сливок и сыра.
Выпечка соленая	Киш с курицей и грибами	ЧТ	шт	39.00	Французский открытый пирог из рубленого теста с начинкой из филе курицы, лука и шампиньонов, залит соусом на основе сливок.
Выпечка соленая	Киш со шпинатом, фетой и орехами	ВТ	шт	34.00	Французский открытый пирог из рубленого теста с начинкой из шпината, лука, творога и сыра фета, залит соусом на основе сливок и посыпан грецкими орехами.
Выпечка соленая	Пирог с индейкой, рисом и черносливом	ПТ	шт	21.00	Изделие из дрожжевого теста с начинкой из индейки, риса и чернослива
Выпечка соленая	Пирог с капустой и колбасками	ЧТ	шт	19.00	Изделие из дрожжевого теста с начинкой из капусты, моркови, лука и копченых колбасок.
Выпечка соленая	Пирог с картофелем, курицей и грибами	ПН	шт	19.00	Изделие из дрожжевого теста с начинкой из картофеля,  филе курицы и грибов с жареным луком.
Выпечка соленая	Пирог с курицей, сыром и брокколи	СР	шт	19.00	Изделие из дрожжевого теста с начинкой из филе курицы, брокколи и сырного соуса.
Выпечка соленая	Пирог с мясом	ВТ	шт	21.00	Изделие из дрожжевого теста с начинкой из свинины и лука.
Выпечка соленая	Пирожок с капустой	все дни	шт	7.00	Изделие из дрожжевого теста с начинкой из капусты, моркови и лука.
Выпечка соленая	Пирожок с мясом	все дни	шт	17.00	Изделие из дрожжевого теста с начинкой из свинины и лука.
Выпечка соленая	Пицца Американо	ПТ	шт	34.00	Филе курицы,колбаса пепперони, моцарелла, маринованный красный лук, кукуруза, каперсы, сыр, томатный соус, сырный соус
Выпечка соленая	Пицца Кантри	ПН	шт	34.00	Ветчина, моцарелла, грибы, огурцы маринованные, сыр, томатный соус, сырный соус.
Выпечка соленая	Пицца с ветчиной, курицей и маслинами	ВТ	шт	34.00	Ветчина ,филе курицы, маслины, сыр, томатный соус, сырный соус.
Выпечка соленая	Пицца с охотн.колбасками и грибами	ЧТ	шт	34.00	Колбаски охотничьи, грибы, сыр,  лук, перец болгарский, специи
Выпечка соленая	Пицца Четыре сыра	СР	шт	38.00	Сыр фета, моцарелла, сулугуни, пармезан, Дор Блу,  итальянские травы, томатный соус, сырный соус.
Выпечка соленая	Расстегай с мясом и грибами	все дни	шт	13.00	Изделие из дрожжевого теста с начинкой из свинины, шампиньонов и лука.
Выпечка соленая	Сосиска в тесте	все дни	шт	14.00	Изделие из дрожжевого теста с сосиской.
Выпечка соленая	Хачапури с сулугуни вкуснейший	все дни	шт	21.00	Изделие из дрожжевого теста с начинкой из сыра сулугуни, творога и укропа .
